ID;Título;Comentário;Histórico;"Atividades ";Origem;Endereço;"Editado em";"Criado em";"Criado Por";Status;Gravidade;Responsável;Ativo;Bairro;Solicitante
59959;"ESTACIONAMENTO PROIBIDO ";"VIA LIBERADA";"Veículo estacionado de maneira irregular causando transtornos ao trânsito. Veículos de grande porte com extrema dificuldade para acessar a via.O campo Número do Chamado foi assinalado como 260611124676O campo Pasta foi assinalado como 359-20260611124613O campo Título foi assinalado como ESTACIONAMENTO PROIBIDO O campo Bairro foi assinalado como IcaraíO campo Endereço foi assinalado como RUA LEMOS CUNHAO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram excluídasO campo Gravidade foi assinalado como MédiaO campo Solicitante foi assinalado como SUPERVISOR GILO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | VIA LIBERADA";;Operacional;"RUA LEMOS CUNHA";"2026-06-11 03:27:00";"2026-06-11 12:47:00";"FLAVIO SA";Encerrada;Média;;Sim;Icaraí;"SUPERVISOR GIL"
59957;"SINISTRO DE MOTO (QUEDA) SEM VÍTIMA";;"Auto lesão na rua Gavião Peixoto n°70. Acidente já está sendo desfeito para não impactar no fluxo da Rua Gavião Peixoto.O campo Número do Chamado foi assinalado como 260611120875O campo Pasta foi assinalado como 359-20260611120852O campo Título foi assinalado como SINISTRO DE MOTO (QUEDA) SEM VÍTIMAO campo Bairro foi assinalado como IcaraíO campo Endereço foi assinalado como RUA GAVIÃO PEIXOTOO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram excluídasO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como SUPERVISOR ANDRÉ.O campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Operacional;"RUA GAVIÃO PEIXOTO";"2026-06-11 12:09:00";"2026-06-11 12:09:00";"FLAVIO SA";Encerrada;Baixa;;Sim;Icaraí;"SUPERVISOR ANDRÉ."
59997;"FRESAGEM ASFALTICA";"serviço de fresagem na praça da Riodades,  operacional  noturno dando apoio ";"serviço de fresagem na praça da Riodades,  operacional  noturno dando apoio O campo Número do Chamado foi assinalado como 260611112795O campo Pasta foi assinalado como 322-20260611112703O campo Título foi assinalado como FRESAGEM ASFALTICAO campo Bairro foi assinalado como FonsecaO campo Endereço foi assinalado como Alameda São BoaventuraO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram assinaladas como: 3xO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como MarcoO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim";#1_34_C#1_1_C#1_30_C#;Operacional;"Alameda São Boaventura";;"2026-06-11 11:29:00";"JESSICA APARECIDA DA COSTA FARIAS";Aberta;Baixa;;Sim;Fonseca;Marco
59955;"ÁGUAS DE NITERÓI";ENCERRADA;"ÁGUAS DE NITERÓI REALIZANDO SERVIÇO A FRENTE DO Nº289 - SENTIDO CENTRO = OPERACIONAL NO LOCAL.O campo Número do Chamado foi assinalado como 260611110074O campo Pasta foi assinalado como 359-20260611110054O campo Título foi assinalado como ÁGUAS DE NITERÓIO campo Bairro foi assinalado como BarretoO campo Endereço foi assinalado como RUA BENJAMIN CONSTANT O campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como SUPERVISOR COUTOO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | ENCERRADA";;Operacional;"RUA BENJAMIN CONSTANT ";"2026-06-11 06:17:00";"2026-06-11 11:02:00";"FLAVIO SA";Encerrada;Baixa;;Sim;Barreto;"SUPERVISOR COUTO"
59953;"ÁGUAS DE NITERÓI";ENCERRADA;"Aguas de Niteroi em frente a Maternidade Alzira ReisO campo Número do Chamado foi assinalado como 260611102773O campo Pasta foi assinalado como 266-20260611102706O campo Título foi assinalado como ÁGUAS DE NITERÓIO campo Bairro foi assinalado como CharitasO campo Endereço foi assinalado como Avenida Prefeito Silvio PicançoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Alex Godinho - supervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | ENCERRADA";;Operacional;"Avenida Prefeito Silvio Picanço";"2026-06-11 06:16:00";"2026-06-11 10:34:00";ROSIANE;Encerrada;Baixa;;Sim;Charitas;"Alex Godinho - supervisor"
59951;"VEÍCULO ENGUIÇADO";;"Coletivo enguiçado lado oposto do terminalO campo Número do Chamado foi assinalado como 260611102172O campo Pasta foi assinalado como 266-20260611102130O campo Título foi assinalado como VEÍCULO ENGUIÇADOO campo Bairro foi assinalado como CentroO campo Endereço foi assinalado como Avenida Visconde do Rio BrancoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram assinaladas como: 1xO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Renato - supervisor O campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";#1_30_C#;Operacional;"Avenida Visconde do Rio Branco";"2026-06-11 02:04:00";"2026-06-11 10:23:00";ROSIANE;Encerrada;Baixa;;Sim;Centro;"Renato - supervisor "
59949;"ÁGUAS DE NITERÓI";ENCERRADA;"Aguas de Niteroi iniciando serviço em frente ao Catamarã O campo Número do Chamado foi assinalado como 260611100071O campo Pasta foi assinalado como 266-20260611100007O campo Título foi assinalado como ÁGUAS DE NITERÓIO campo Bairro foi assinalado como CharitasO campo Endereço foi assinalado como Avenida Prefeito Sílvio PicançoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Alex  Godinho -  supervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | ENCERRADA";;Operacional;"Avenida Prefeito Sílvio Picanço";"2026-06-11 06:16:00";"2026-06-11 10:01:00";ROSIANE;Encerrada;Baixa;;Sim;Charitas;"Alex  Godinho -  supervisor"
59947;"SINISTRO AUTO X MOTO SEM VÍTIMA";"VIA LIBERADA ";"Sinistro entre auto x moto sem vitima na rotatória da mineira. Equipe túnel no local.O campo Número do Chamado foi assinalado como 260611095370O campo Pasta foi assinalado como 266-20260611095329O campo Título foi assinalado como SINISTRO AUTO X MOTO SEM VÍTIMAO campo Bairro foi assinalado como São FranciscoO campo Endereço foi assinalado como Avenida Quintino Bocaiúva O campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CISPO campo Origem foi assinalado como CISPO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | VIA LIBERADA ";;CISP;"Avenida Quintino Bocaiúva ";"2026-06-11 11:50:00";"2026-06-11 09:54:00";ROSIANE;Encerrada;Baixa;;Sim;"São Francisco";CISP
59945;"SINISTRO AUTO X MOTO COM VÍTIMA ";;"Sinistro entre auto x moto com vitima na Feliciano Sodré em frente ao Porto, sentido Fonseca.O campo Número do Chamado foi assinalado como 260611094869O campo Pasta foi assinalado como 266-20260611094849O campo Título foi assinalado como SINISTRO AUTO X MOTO COM VÍTIMA O campo Bairro foi assinalado como CentroO campo Endereço foi assinalado como Avenida Feliciano SodréO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram assinaladas como: 1xO campo Gravidade foi assinalado como MédiaO campo Solicitante foi assinalado como Andre - supervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";#1_7_C#;Operacional;"Avenida Feliciano Sodré";"2026-06-11 10:34:00";"2026-06-11 09:50:00";ROSIANE;Encerrada;Média;;Sim;Centro;"Andre - supervisor"
59943;"AÇÃO SOCIAL";;"O campo Número do Chamado foi assinalado como 260611094068O campo Pasta foi assinalado como 266-20260611094003O campo Título foi assinalado como AÇÃO SOCIALO campo Bairro foi assinalado como IngáO campo Endereço foi assinalado como  Rua Doutor Paulo Alves O campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Paulo Davi - supervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Operacional;" Rua Doutor Paulo Alves ";"2026-06-11 10:35:00";"2026-06-11 09:42:00";ROSIANE;Encerrada;Baixa;;Sim;Ingá;"Paulo Davi - supervisor"
